ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
741	224	Cycas		revoluta		taiwaniana	var.	(Carruth.) J.Schust.		5	
693	197	Cycas		rumphii		rumphii	f.			5	
198	233	Cycas		rumphii		undulata	f.	(Desf. ex Gaudich.) Kaneh.		5	
799	175	Cycas		rumphii		normanbyana	subsp.	(F.Muell.) J.Schust.		5	
694	197	Cycas		rumphii		rumphii	subsp.			5	
199	241	Cycas		rumphii		zeylanica	subsp.	J.Schust.		5	
200	69	Cycas		rumphii		bifida	var.	Dyer		5	
695	197	Cycas		rumphii		rumphii	var.			5	
802	206	Cycas		rumphii		seemannii	var.	(Regalado) Parham		5	
201	128	Cycas		rumphii		timorensis	var.	Miq.		5	
209	210	Cycas		septemsperma	Hung T.Chang, Y.Y.Huang & H.X.Zheng					5	
211	134	Cycas		shanyaensis	G.A.Fu					5	
212	65	Cycas		shiwandashanica	Hung T.Chang & Y.C.Zhong					5	
214	65	Cycas		siamensis		balansae	subsp.	(Warb.) J.Schust.		5	
696	213	Cycas		siamensis		siamensis	subsp.			5	
218	210	Cycas		spiniformis	J.Y.Liang					5	
220	140	Cycas		swamyi	Rita Singh & P.Radha					5	
222	123	Cycas		szechuanensis		fairylakea	subsp.	(D.Yue Wang) N.Liu		5	
577	221	Cycas		szechuanensis		szechuanensis	subsp.			5	
233	87	Cycas		undulata	Desf. ex Gaudich.					5	
236	104	Cycas		wallichii	Miq.					5	
237	207	Cycas		xilingensis	Hung T.Chang & Y.C.Zhong					5	
243	244	Dioon		aculeatum	Lem.					5	
249	244	Dioon		edule		angustifolium	f.	(Miq.) Miq.		5	
697	248	Dioon		edule		edule	f.			5	
250	244	Dioon		edule		angustifolium	subsp.	(Miq.) A.E.Murray		5	
698	248	Dioon		edule		edule	subsp.			5	
251	244	Dioon		edule		angustifolium	var.	(Miq.) Miq.		5	
699	248	Dioon		edule		edule	var.			5	
252	248	Dioon		edule		lanuginosum	var.	Wittm.		5	
253	257	Dioon		edule		latipinnium	var.	Dyer		5	
254	261	Dioon		edule		sonorense	var.	(De Luca, Sabato & Vázq.Torres) McVaugh & Pérez de la Rosa		5	
256	248	Dioon		imbricatum	Miq.					5	
264	248	Dioon		strobilaceum	Lem. ex A.DC.					5	
266	261	Dioon		tomasellii		sonorense	var.	De Luca, Sabato & Vázq.Torres		5	
700	265	Dioon		tomasellii		tomasellii	var.			5	
269	163	Dyerocycas		micholitzii	(Dyer) Nakai					5	
428	295	Encephalartos		acanthus	Mast.					5	
701	272	Encephalartos		altensteinii		altensteinii	var.			5	
590	272	Encephalartos		altensteinii		angustifolius	var.	Miq.		5	
649	361	Encephalartos		altensteinii		bispinnus	var.	J.M.Wood		5	
612	272	Encephalartos		altensteinii		distans	var.	Regel		5	
636	303	Encephalartos		altensteinii		eriocephalus	var.	de Vriese		5	
619	272	Encephalartos		altensteinii		grandis	var.	Regel		5	
617	272	Encephalartos		altensteinii		macrophyllus	var.	Regel		5	
613	272	Encephalartos		altensteinii		parvifolius	var.	Regel		5	
611	335	Encephalartos		altensteinii		paucidentatus	var.	Regel		5	
591	272	Encephalartos		altensteinii		semidentatus	var.	Miq.		5	
618	272	Encephalartos		altensteinii		spinosior	var.	Regel		5	
277	280	Encephalartos		brachyphyllus	Lehm. & de Vriese					5	
625	277	Encephalartos		caffer		brachyphyllus	var.	(Lehm. & de Vriese) Miq.		5	
702	280	Encephalartos		caffer		caffer	var.			5	
609	280	Encephalartos		caffer		integrifolius	var.	Regel		5	
610	280	Encephalartos		caffer		unidentatus	var.	Regel		5	
703	285	Encephalartos		cycadifolius		cycadifolius	var.			5	
