AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
45	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		whitelockiana	Chemnick & T.J.Greg.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
46	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		zaragozae	Medellín		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
47	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		zoquorum	Pérez-Farr., Vovides & Iglesias		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
52	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		aculeata	K.D.Hill & T.H.Nguyên		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
54	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		aenigma	K.D.Hill & A.Lindstr.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
55	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		angulata	R.Br.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
56	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		annaikalensis	Rita Singh & P.Radha		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
57	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		apoa	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
58	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		arenicola	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
59	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		armstrongii	Miq.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
60	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		arnhemica	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
63	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		badensis	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
829	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		baiseensis	Y.Y.Huang, Y.C.Zhong & Z.F.Lu		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
65	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		balansae	Warb.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
