ReferenceID	Authors	Year	Title	Details
Cyd-Ref-196	Porte ex Regel	1863		In: Gartenflora 12: 16-17
Cyd-Ref-197	Miq.	1839		In: Bull. Sci. Phys. Nat. Néerl. 2: 45
Cyd-Ref-693		1938		In: J. Jap. Bot. 14(9): 587
Cyd-Ref-198	Kaneh.	1938		In: J. Jap. Bot. 14(9): 587
Cyd-Ref-799	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 75
Cyd-Ref-694		1932		In: in Engler, Pflanzenr. 99: 75
Cyd-Ref-199	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 75, figs. 10c-d, 11m
Cyd-Ref-200	Dyer	1902		In: J. Linn. Soc., Bot. 26: 560
Cyd-Ref-695		1840		In: Comm. Phytogr.: 125-126
Cyd-Ref-802	Parham	1948		In: Agric. J. (Suva) 19: 94, f. 7
Cyd-Ref-201	Miq.	1840		In: Comm. Phytogr.: 125-126
Cyd-Ref-595	R.C.Srivast.	2014		In: Indian J. Pl. Sci. [Jaipur] 3(1): 109-110, pl. 1
Cyd-Ref-202	Agoo & Madulid	2012		In: Blumea 57(2): 131
Cyd-Ref-203	K.D.Hill & A.Lindstr.	2008		In: Telopea 12(1): 128-129, fig. 2
Cyd-Ref-204	Lauterb.	1900		In: Fl. Schutzgeb. Südsee: 154-155
Cyd-Ref-205	F.Muell.	1885		In: Vict. Naturalist 2(2): 18-19
Cyd-Ref-206	Braun	1876		In: Sitzungsber. Ges. Naturf. Freunde Berlin: 114-115
Cyd-Ref-207	D.Yue Wang & C.Y.Deng	1995		In: Encephalartos 43: 11-14
Cyd-Ref-208	K.D.Hill	1996		In: Telopea 7(1): 23-26, fig. 11
Cyd-Ref-209	Hung T.Chang, Y.Y.Huang & H.X.Zheng	1998		In: Acta Sci. Nat. Univ. Sunyatseni 37(4): 8
Cyd-Ref-815	P.V.C.Rao, N.V.S.Prasad, P.M.Babu, K.Prassad & Prasanna	2016		In: Asian J. Conservation Biol. 5(1): 55-58, figs. 1-2
Cyd-Ref-210	F.N.Wei	1996		In: Guihaia 16(1): 1
Cyd-Ref-211	G.A.Fu	2006		In: Bull. Bot. Res., Harbin 26(1): 2-3, fig. 1
Cyd-Ref-212	Hung T.Chang & Y.C.Zhong	1995		In: Chin. Bull. Bot. 12: 12
Cyd-Ref-213	Miq.	1863		In: Bot. Zeitung (Berlin) 21: 334
Cyd-Ref-214	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 81
Cyd-Ref-696		1932		In: in Engler, Pflanzenr. 99: 81
Cyd-Ref-215	K.D.Hill	1992		In: Telopea 5(1): 181-182, fig. 1
Cyd-Ref-216	K.D.Hill	1995		In: Proc. Third Int. Conf. Cycad Biol.: 150
Cyd-Ref-217	Roxb.	1832		In: Fl. Ind. (Roxburgh) 3: 747
Cyd-Ref-218	J.Y.Liang	1997		In: Guihaia 17(3): 211
Cyd-Ref-796	Lodd. ex G.Don	1830		In: Hort. Brit. [Loudon]: 403
Cyd-Ref-219	Miq. ex A.Lindstr. & K.D.Hill	2009		In: Telopea 12(3): 408-410, fig. 6
Cyd-Ref-220	Rita Singh & P.Radha	2008		In: Bot. J. Linn. Soc. 158(3): 430-435
Cyd-Ref-221	W.C.Cheng & L.K.Fu	1975		In: Acta Phytotax. Sin. 13(4): 81, t. 1, figs. 7-8
Cyd-Ref-222	N.Liu	2004		In: Proc. Sixth Int. Conf. Cycad Biol.: 2
Cyd-Ref-577		2004		In: Proc. Sixth Int. Conf. Cycad Biol.: 1-4
Cyd-Ref-223	C.F.Shen, K.D.Hill, C.H.Tsou & C.J.Chen	1994		In: Bot. Bull. Acad. Sin. 35(2): 135-138
Cyd-Ref-224	Carruth.	1893		In: J. Bot. 31: 1-3, pl. 331
Cyd-Ref-225	D.Yue Wang	1996		In: Cycads China: 134, fig. 4
Cyd-Ref-226	K.D.Hill & S.L.Yang	1999		In: Brittonia 51(1): 65-66
Cyd-Ref-227	P.I.Forst.	2011		In: Austrobaileya 8(3): 356-363, t.1, figs. 1-4
Cyd-Ref-228	R.Br. ex Gaudich.	1826		In: Voy. Uranie, Bot.: 434
Cyd-Ref-229	Rodigas	1886		In: Ill. Hort. 33: 27
Cyd-Ref-230	K.D.Hill & P.K.Lôc	2004		In: Bot. Rev. (Lancaster) 70(2): 168-170, fig. 10
Cyd-Ref-231	de Laub.	2007		In: Encephalartos 92: 17
Cyd-Ref-232	K.D.Hill	1996		In: Telopea 7(1): 20-23, fig. 10
Cyd-Ref-233	Desf. ex Gaudich.	1829		In: Voy. Uranie, Bot.: 434
Cyd-Ref-234	A.Lindstr. & K.D.Hill	2008		In: Telopea 12(1): 134-136, fig. 4
Cyd-Ref-235	Merr.	1936		In: Philipp. J. Sci. 60(3): 234-236, pls 1-4
Cyd-Ref-236	Miq.	1842		In: Monogr. Cycad.: 32
