ID	citation	title	year	source	doi	link
126			2004	Bot. Rev. (Lancaster) 70(2): 145-146, figs. 2-3		
127			1918	J. Proc. Roy. Soc. Western Australia 3: 108		
128			1840	Comm. Phytogr.: 127		
129			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 366-367		
132			2008	J. Pl. Genet. Resources 9(4): 525-527		
130			1876	Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282		
688			1876	Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282		
131			1876	Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282		
133			1983	Acta Phytotax. Sin. 21(2): 209-210		
134			1975	Acta Phytotax. Sin. 13(4): 82, t. 2, figs. 5-6		
135			2004	Proc. Sixth Int. Conf. Cycad Biol.: 3		
689			2004	Proc. Sixth Int. Conf. Cycad Biol.: 3		
136			2004	Bot. Rev. (Lancaster) 70(2): 153-155, fig. 5		
137			1996	Cycads China: 62		
138			1849	Epimel. Bot.: 238		
139			1912	Bull. Misc. Inform. Kew 1912(10): 434-435		
140			2007	Telopea 11(4): 481-483, fig. 3		
141			1793	Fl. Cochinch. 2: 632		
142			1996	Cycads China: 65		
143			1854	Not. Pl. Asiat. 4: 9-10, pl. 360, figs. 1-2, pl. 362, fig. 1		
144			1882	Australas. Chem. Druggist: 16		
145			2008	Telopea 12(1): 136-138, fig. 5		
146			1923	For. Dep. Bull., W. Austral. 32: 30-32, fig. e		
653			2014	Nordic J. Bot. [epublished 10 Sep 2014, DOI: 10.1111/njb.00498]		
147			1997	Novon 7(2): 213-215, fig. 1		
148			2004	Bull. Bot. Res., Harbin 24(4): 387-388		
149			1999	Brittonia 51(1): 70-72, fig. 11		
150			1998	Acta Sci. Nat. Univ. Sunyatseni 37(4): 6		
151			1996	Cycads China: 68		
152			1997	Guihaia 17(3): 209		
153			1997	Acta Sci. Nat. Univ. Sunyatseni 36(3): 68		
154			1996	Telopea 7(1): 48-49, fig. 22		
155			1996	Telopea 7(1): 49-51		
575			1996	Telopea 7(1): 48-49, fig. 22		
156			1996	Telopea 7(1) : 51-52, fig. 23		
157			1854	Not. Pl. Asiat. 4: 11-14, pl. 362, fig. 2		
158			1840	Comm. Phytogr.: 127		
159			1810	Prodr. Fl. Nov. Holland. 1: 348		
160			1996	Telopea 7(1): 15-16		
161			1996	Telopea 7(1): 14-15, fig. 6		
576			1996	Telopea 7(1): 12-14, fig. 5		
800			1932	in Engler, Pflanzenr. 99: 78		
801			1932	in Engler, Pflanzenr. 99: 78		
798			1932	in Engler, Pflanzenr. 99: 78		
572			1996	Telopea 7(1): 3		
162			1992	Telopea 5(1): 188-189, fig. 5		
163			1905	Gard. Chron., ser. 3 38: 142-144, figs. 48-49		
690			1971	Nat. Hist. Bull. Siam Soc. 24: 164		
164			1971	Nat. Hist. Bull. Siam Soc. 24: 164, figs. 2-3, 4f		
165			1994	Austral. Syst. Bot. 7(6): 554-556, fig. 10		
166			1900	Monsunia 1: 179, 181		
167			2009	Telopea 12(3): 396-397, fig. 3		
168			1997	Acta Sci. Nat. Univ. Sunyatseni 36(3): 70		
169			1996	Cycads China: 80		
171			1996	Cycads China: 83		
170			1994	Acta Phytotax. Sin. 32(3): 239, 480-481		
172			1932	in Engler, Pflanzenr. 99: 76, fig. 10e		
674			2015	Asian J. Conservation Biol. 4(1): 3-14, figs. 4-6		
173			2008	Telopea 12(1): 142-143, fig. 6		
174			1999	Brittonia 51(1): 60-62, fig. 7		
175			1874	Fragm. (Mueller) 8(66): 169-171, Icon. 65-66		
176			1992	Telopea 5(1): 190-191, fig. 7		
177			1994	Telopea 5(4): 696-697, fig. 3		
673			2015	Asian J. Conservation Biol. 4(1): 3-14, figs. 1-3		
178			2004	Bot. Rev. (Lancaster) 70(2): 176-178, fig. 13		
179			1998	Acta Sci. Nat. Univ. Sunyatseni 37(4): 7		
180			1981	Acta Phytotax. Sin. 19(3): 335, t. 10, figs. 1-6; t. 11, figs. 1-10		
181			1876	Descr. Notes Papuan Pl. 4: 71-72		
182			1996	Cycads China: 93		
183			1826	Mem. Wern. Nat. Hist. Soc. 5(2): 322-323		
185			1995	Acta Bot. Yunnan. 17(4): 400		
184			1931	Fl. Indo-Chine 5(10): 1091		
691			1931	Fl. Indo-Chine 5(10): 1091		
186			2003	Brittonia 54(4): 299, fig. 1 (2002 publ. 2003)		
187			1992	Telopea 5(1): 193-194, fig. 9		
188			1999	Brittonia 51(1): 44-47, fig. 1		
189			1978	J. Adelaide Bot. Gard. 1(3): 177-178, fig. 2		
794			2015	Int. J. Curr. Res. Biosci. Plant Biol. 2 (8): 35-37		
190			1848	Rumphia 4: 16		
191			1782	Verh. Holl. Maatsch Weetensch. Haarlem 20(2): 424, 426-427		
192			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 207		
193			1842	Monogr. Cycad.: 2526		
194			1846	Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 14(3): 236		
692			1842	Monogr. Cycad.: 2526		
195			1927	Nuovo Giorn. Bot. Ital., n.s., 34: 324, 327		
741			1932	in Engler, Pflanzenr. 99: 84		
196			1863	Gartenflora 12: 16-17		
197			1839	Bull. Sci. Phys. Nat. Néerl. 2: 45		
693			1938	J. Jap. Bot. 14(9): 587		
198			1938	J. Jap. Bot. 14(9): 587		
799			1932	in Engler, Pflanzenr. 99: 75		
694			1932	in Engler, Pflanzenr. 99: 75		
199			1932	in Engler, Pflanzenr. 99: 75, figs. 10c-d, 11m		
200			1902	J. Linn. Soc., Bot. 26: 560		
695			1840	Comm. Phytogr.: 125-126		
802			1948	Agric. J. (Suva) 19: 94, f. 7		
201			1840	Comm. Phytogr.: 125-126		
595			2014	Indian J. Pl. Sci. [Jaipur] 3(1): 109-110, pl. 1		
202			2012	Blumea 57(2): 131		
203			2008	Telopea 12(1): 128-129, fig. 2		
204			1900	Fl. Schutzgeb. Südsee: 154-155		
205			1885	Vict. Naturalist 2(2): 18-19		
206			1876	Sitzungsber. Ges. Naturf. Freunde Berlin: 114-115		
207			1995	Encephalartos 43: 11-14		
208			1996	Telopea 7(1): 23-26, fig. 11		
209			1998	Acta Sci. Nat. Univ. Sunyatseni 37(4): 8		
815			2016	Asian J. Conservation Biol. 5(1): 55-58, figs. 1-2		
210			1996	Guihaia 16(1): 1		
211			2006	Bull. Bot. Res., Harbin 26(1): 2-3, fig. 1		
212			1995	Chin. Bull. Bot. 12: 12		
213			1863	Bot. Zeitung (Berlin) 21: 334		
214			1932	in Engler, Pflanzenr. 99: 81		
696			1932	in Engler, Pflanzenr. 99: 81		
215			1992	Telopea 5(1): 181-182, fig. 1		
216			1995	Proc. Third Int. Conf. Cycad Biol.: 150		
217			1832	Fl. Ind. (Roxburgh) 3: 747		
218			1997	Guihaia 17(3): 211		
796			1830	Hort. Brit. [Loudon]: 403		
219			2009	Telopea 12(3): 408-410, fig. 6		
220			2008	Bot. J. Linn. Soc. 158(3): 430-435		
221			1975	Acta Phytotax. Sin. 13(4): 81, t. 1, figs. 7-8		
222			2004	Proc. Sixth Int. Conf. Cycad Biol.: 2		
577			2004	Proc. Sixth Int. Conf. Cycad Biol.: 1-4		
223			1994	Bot. Bull. Acad. Sin. 35(2): 135-138		
224			1893	J. Bot. 31: 1-3, pl. 331		
225			1996	Cycads China: 134, fig. 4		
226			1999	Brittonia 51(1): 65-66		
227			2011	Austrobaileya 8(3): 356-363, t.1, figs. 1-4		
228			1826	Voy. Uranie, Bot.: 434		
229			1886	Ill. Hort. 33: 27		
230			2004	Bot. Rev. (Lancaster) 70(2): 168-170, fig. 10		
231			2007	Encephalartos 92: 17		
232			1996	Telopea 7(1): 20-23, fig. 10		
233			1829	Voy. Uranie, Bot.: 434		
234			2008	Telopea 12(1): 134-136, fig. 4		
235			1936	Philipp. J. Sci. 60(3): 234-236, pls 1-4		
236			1842	Monogr. Cycad.: 32		
237			1997	Acta Sci. Nat. Univ. Sunyatseni 36(3): 69		
238			1996	Telopea 7(1): 32-33, fig. 15		
239			1996	Telopea 7(1): 18-19, fig. 8		
240			2005	Blumea 50(3): 519-522. fig. 1.		
241			2002	Novon 12(2): 238		
243			1846	Catalog. Vanhoutt. 27: 45		
244			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 37-38		
245			2003	Bot. J. Linn. Soc. 141(4): 471-476, figs. 1-8		
246			1979	Brittonia 31(1): 170-172, figs. 2-3		
247			1980	Brittonia 32(1): 44-46, figs. 3-4		
248			1843	Edwardss Bot. Reg. 29: misc. 59-60		
249			1861	Prodr. Syst. Cycad.: 10, 22		
697			1861	Prodr. Syst. Cycad.: 10		
250			1983	Kalmia 13: 5		
698			1983	Kalmia 13: 5		
251			1868	Arch. Néerl. Sci. Exact. Nat. 3: 427		
699			1868	Arch. Néerl. Sci. Exact. Nat. 3: 427		
252			1899	Gartenflora 48: 153		
253			1884	Biol. Cent.-Amer., Bot. 3: 191, t. 81, figs. 1-3		
254			1992	Fl. Novo-Galiciana 17: 112		
255			1981	Brittonia 33(4): 552-554, figs. 1-2		
256			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 36		
257			1951	Ceiba 1(1): 36-38		
258			1981	Brittonia 33(2): 180-184, figs. 2-3		
740			2016	Cact. Succ. J. (Los Angeles)  88(1): 35-42		
259			1909	Contr. U.S. Natl. Herb. 12(7): 260-261		
260			1980	Brittonia 32(2): 225-229		
261			1998	Phytologia 83(1): 1-6 (1997 publ. 1998)		
262			1883	Gart.-Zeitung (Berlin) 2: 411-413, 438-439, fig. 80		
263			2009	Syst. Biodivers. 7(1): 73-79, figs. 1-2		
264			1868	Prodr. [A. P. de Candolle] 16(2): 537		
265			1984	Brittonia 36(3): 225-227, figs. 2-5		
266			1984	Brittonia 36(3): 226-227, figs. 2B, 3C, 5		
700			1984	Brittonia 36(3): 225-227		
827			2018	Phytotaxa 369(2): 109. 2018 [epublished 13 Sep 2018]		
270			1884	Biol. Cent.-Amer., Bot. 3: 192		
269			1943	Ord. Fam. Prof. Nakai: 208		
428			1878	Gard. Chron., n.s. 10(261): 810		
271			1990	S. African J. Bot. 56(2): 239-243		
272			1834	Nov. Stirp. Pug. 6: 11, t. 4-5		
701			1842	Monogr. Cycad.: 52		
590			1842	Monogr. Cycad.: 52		
649			1907	Ann. Rep. Bot. Gard. Natal: 8-9		
612			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114		
636			1846	Nederl. Kruidk Arch. 1:171-175		
619			1875	Gartenflora 24: 40		
617			1875	Gartenflora 24: 41		
613			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114		
611			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114		
591			1842	Monogr. Cycad.: 52		
618			1875	Gartenflora 24: 40		
273			1996	S. African J. Bot. 62: 57-60		
274			1956	J. S. African Bot. 22(1): 1-4		
275			1868	Arch. Néerl. Sci. Exact. Nat. 3: 243		
276			1978	J. Linn. Soc., Bot. 77(2): 125-129		
578			1978	J. Linn. Soc., Bot. 77(2): 125-129		
277			1838	Tijdschr. Natuurl. Gesch. Physiol. 4(4): 414, tt. 6-7		
278			1996	S. African J. Bot. 62(1): 61-64		
279			1957	Kew Bull. 12(2): 252, fig. 4		
280			1834	Nov. Stirp. Pug. 6: 14		
625			1868	Prodr. [A. P. de Candolle] 16(2): 531-532		
702			1868	Prodr. [A. P. de Candolle] 16(2): 532		
609			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 113		
610			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 113		
281			1989	Durban Mus. Novit. 14: 153 156		
282			1969	Kirkia 7: 147-158		
283			1969	Kirkia 7: 147-158		
284			1971	Bothalia 10(2): 379-383		
285			1834	Nov. Stirp. Pug. 6: 13		
703			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111		
606			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111		
607			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111		
624			1839	Hort. Brit. [Sweet] ed. 3: 626		
286			1992	Ann. Gembloux 98(2): 153-155, fig. 1		
601			1859	Quart. J. Trans. Pharm. Soc. Victoria 2: 90		
287			1988	Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224		
637			1882	Syst. Census Austral. Pl. 1:110		
648			1885	Australas. Chem. Druggist 8:12		
288			1988	Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224		
268			1838	Tijdschr. Natuurl. Gesch. Physiol. 4(4): 419, pl. 8a		
289			1995	S. African J. Bot. 61(4): 226-229		
290			1945	J. S. African Bot. 11(1): 1-3		
642			1988	Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224		
291			1988	Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224		
292			1954	Bothalia 6(2): 426		
293			1851	Mem. Reale Accad. Sci. Ist. Bologna 3: 264-265		
659			2015	Phytotaxa 204(2): 99-115		
658			2015	Phytotaxa 204(2): 99-115		
294			2006	Biotechnol. Agron. Soc. Environm. 10(3): 181-183, figs. 1-4		
596			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 368		
295			1834	Nov. Stirp. Pug. 6: 8, tt. 1-3		
296			1867	Ill. Hort. 14, misc.: 80-81; 15: pl. 567		
362			1868	Gard. Chron. 25(14): 349		
297			1988	S. African J. Bot. 54(4): 363-366, figs. 1-2		
298			1916	Bull. Misc. Inform. Kew 1916: 181		
704			1938	J. S. African Bot. 4: 153		
638			1938	J. S. African Bot. 4: 153		
299			1972	Bothalia 10(4): 539-546		
300			1874	Index Seminum Hort. Bot. Berol. 1874: 18		
301			1957	Kew Bull. 12(2): 248		
643			1957	Kew Bull. 12(2): 248		
302			1996	S. African J. Bot. 62(1): 46-48, fig. 1		
303			1834	Nov. Stirp. Pug. 6: 14		
633			1842	Monogr. Cycad.: 58-59		
705			1838	Ann. Sci. Nat., Bot. ser. 2 10: 367		
635			1838	Ann. Sci. Nat., Bot. ser. 2 10: 367		
626			1932	in Engler, Pflanzenr. 99: 117		
634			1842	Monogr. Cycad.: 59		
627			1932	in Engler, Pflanzenr. 99: 117		
304			1863	Bot. Mag. 89: t. 5371		
628			1932	in Engler, Pflanzenr. 99: 117		
305			1951	Bothalia 6(1): 220, 241, pl. 3		
306			1995	Novon 5(4): 388, figs. 2-5		
307			1964	Bothalia 8(2): 169-170		
308			1990	Mem. New York Bot. Gard. 57: 152-155		
309			2007	J. E. Afr. Nat. Hist. 96(2): 193-201		
310			1989	Utafiti 2(1): 7-10		
311			1932	Bull. Misc. Inform. Kew 1932: 512		
312			1926	Man. Pl. Transvaal   1: 40, 99		
313			1926	Man. Pl. Transvaal  1: 40, 99, fig. 4d		
314			1834	Nov. Stirp. Pug. 6: 14		
706			1842	Monogr. Cycad.: 57		
594			1842	Monogr. Cycad.: 57		
315			1839	Hort. Brit. [Sweet] ed. 3: 626		
316			1838	Tijdschr. Natuurl. Gesch. Physiol. 4(4): 424, t.9		
317			1903	Ann. Mus. Congo Belge, Bot. sér. 5, 1(1): 10, t. 25		
318			1949	Fl. Pl. Africa 27: pls. 1078-1079		
319			1834	Nov. Stirp. Pug. 6: 14		
629			1932	in Engler, Pflanzenr. 99: 115		
707			1932	in Engler, Pflanzenr. 99: 115		
630			1932	in Engler, Pflanzenr. 99: 115		
708			1868	Prodr. [A. P. de Candolle] 16(2): 531		
641			1868	Prodr. [A. P. de Candolle] 16(2): 531		
320			1900	Bull. Soc. Roy. Bot. Belgique 39: 80		
321			1834	Nov. Stirp. Pug. 6: 14		
593			1842	Monogr. Cycad.: 56		
662			1868	Prodr. [A. P. de Candolle] 16(2): 531-532		
608			1874	Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 113		
709			1842	Monogr. Cycad.: 55-56		
592			1842	Monogr. Cycad.: 55-56		
603			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 376		
728			1870	Retail List [Bull] No. 54: 116		
322			2002	Bot. J. Linn. Soc. 140(2): 187-192, figs. 1-6		
323			1997	Encephalartos 50: 13-17, figs. 1-2		
730			1873	Retail List [Bull] No. 83: 187		
324			1939	Proc. Rhodesia Sci. Assoc. 37: 133-134		
325			1838	Tijdschr. Natuurl. Gesch. Physiol. 5: 187-189		
326			1958	Bull. Soc. Roy. Bot. Belgique 91: 104-110		
327			1842	Monogr. Cycad.: 48		
328			1989	S. African J. Bot. 55(1): 122-126		
639			1862	Fragm. (Mueller) 3: 38		
640			1881	Fragm. (Mueller) 11: 125		
329			1996	S. African J. Bot. 62(2): 67-70		
330			1969	Kirkia 7: 147-158		
331			1838	Tijdschr. Natuurl. Gesch. Physiol. 4(4): 421, t. 8c		
332			1951	Bothalia 6(1): 205-211, pls 1-3		
333			1949	Fl. Pl. Africa 27: pls 1053-1054		
334			1995	Phytologia 78(6): 409-410, fig. 1		
600			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 370		
335			1926	Man. Pl. Transvaal   1: 40, 99, fig. 4a		
602			1859	Quart. J. Trans. Pharm. Soc. Victoria 2: 90		
336			1878	Verh. Bot. Vereins Prov. Brandenburg 20: 35-36		
597			1858	Quart. J. Trans. Pharm. Soc. Victoria 2: 90		
337			1965	J. S. African Bot. 31(2): 111-112, pl. 19		
620			1839	Hort. Brit. [Sweet] ed. 3: 626		
338			1969	Kirkia 7: 147-158		
623			1839	Hort. Brit. [Sweet] ed. 3: 626		
339			1834	Nov. Stirp. Pug. 6: 13		
650			1889	Retail List [Bull] No. 250: 8, t. 4		
340			2001	Bothalia 31(2): 197-199		
621			1839	Hort. Brit. [Sweet] ed. 3: 626		
341			1993	Bull. Jard. Bot. Natl. Belg. 62: 215-219		
342			1969	Bull. Jard. Bot. Natl. Belg. 39(4): 401-406		
267			1991	Delpinoa 29-30: 3-5 (1989 issued 1991 Oct. 24)		
343			1990	Mem. New York Bot. Gard. 57: 156-161		
344			1996	S. African J. Bot. 62(2): 76-79		
345			1871	Bot. Zeitung (Berlin) 29(20): 334		
346			1838	Tijdschr. Natuurl. Gesch. Physiol. 4(4): 419, t. 8c		
589			1834	Nov. Stirp. Pug. 6: 13		
644			1866	Fragm. (Mueller) 5: 172		
598			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 368		
710			1863	Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 368		
347			1926	Man. Pl. Transvaal 1: 40, 99		
348			1995	S. African J. Bot. 61(6): 347		
349			1957	Kew Bull. 12(2): 249, fig. 3		
350			1999	J. E. Afr. Nat. Hist. 88: 35		
579			1999	J. E. Afr. Nat. Hist. 88: 35		
351			1926	Man. Pl. Transvaal  1: 40, 99, fig. 4b		
