taxonID	area	gazetteer	status	threatStatus
653	Laos (Khammouan)	text		
147	Vietnam (Ba Ria-Vung Tau, Binh Thuan, Khanh Hoa, Ninh Thuan)	text		EN
148		text		
149		text		
150		text		
151		text		
152		text		
153		text		
154	Australia (Northern Territory)	text		LC
155	Australia (Northern Territory)	text		LC
575	Australia (Northern Territory)	text		NT
156	Australia (Northern Territory)	text		LC
157	Laos (Vientiane), Malaysia (Kelantan, Pahang, Terengganu), Thailand (Chantaburi, Chumphon, Narathiwat, Ranong)	text		VU
158		text		
159	Australia (Queensland)	text		LC
160	Australia (Queensland)	text		
161	Australia (Queensland)	text		
576	Australia (Queensland)	text		
800		text		
801		text		
798		text		
572		text		
162	Australia (Queensland)	text		VU
163	Laos (Champasak, Saravan), Vietnam (Dac Lak, Gia Lai, Kon Tum)	text		VU
690		text		
164		text		
165	Guam, Micronesia (Yap), Northern Mariana Islands (Rota), Palau	text		EN
166		text		
167	Indonesia (Nusa Tenggara Timur)	text		[NT]
168		text		
169	China (Yunnan)	text		[EN]
171		text		
170	China (Yunnan), Vietnam (Yen Bai)	text		EN
172	India (Tamil Nadu), N Sri Lanka	text		VU
674	India (Odisha)	text		[CR]
173	Philippines (Albay, Cagayan, Quezon, Northern Samar)	text		[NT]
174	Laos (Vientiane), Thailand (Nakhon Sawan)	text		VU
175		text		
176	Australia (Queensland)	text		VU
177	Australia (Northern Territory)	text		LC
673	India (Odisha)	text		[EN]
178	Vietnam (Binh Thuan, Ninh Thuan)	text		CR
179		text		
180	China (Sichuan, Yunnan)	text		VU
181	Indonesia (Papua), Papua New Guinea (Western)	text		NT
182		text		
183	Bangladesh, Bhutan, China (Yunnan), India (Assam, Manipur, Meghalaya, Sikkim, West Bengal), Laos, Myanmar, Nepal, Thailand (Chiang Mai, Kanchanaburi, Mae Hong Son, Phetchabun, Phrae, Sukhothai), Vietnam (Binh Dinh, Gia Lai, Kon Tum, Lam Dong, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai)	text		VU
185		text		
184		text		
691		text		
186	Laos (Vientiane),Thailand (Loei)	text		NT
187	Australia (Queensland)	text		EN
188	Thailand (Prachuap Khiri Khan)	text		VU
189	Australia (Northern Territory, WA)	text		LC
794		text		
190		text		
191	China (Fujian), Japan (Ryukyu Islands)	text		LC
192		text		
193		text		
194		text		
692		text		
195		text		
741		text		
196	Philippines (Bataan, Batanes, Batangas, Cagayan, Cavite, Isabela, Laguna, Pampanga)	text		EN
197	Australia (Ashmore Reef, Christmas Island) Indonesia (Jawa Timur, Kalimantan Barat, Maluku, Papua, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, West Papu), Papua New Guinea (West Sepik).	text		NT
693		text		
198		text		
799		text		
694		text		
199		text		
200		text		
695		text		
802		text		
201		text		
595	India (Andaman and Nicobar Islands Territory)	text		[CR]
202	Philippines (Misamis Oriental)	text		[CR]
203	Philippines (Palawan)	text		VU
204	Papua New Guinea (Eastern Highlands, Madang, Morobe)	text		NT
205	Australia (Queensland [Murray Island]), Indonesia (Papua, Maluku, Papua Barat), Papua New Guinea (Central, Gulf, Milne Bay, Western)	text		NT
206	Fiji, New Caledonia, Tonga, Vanuatu	text		VU
207	China (Guangxi, Guizhou, Yunnan), ?N Vietnam	text		VU
208	Australia (Queensland)	text		VU
209		text		
815	India (Andhra Pradesh)	text		[CR]
210	China (Guangxi), Vietnam (Cao Bang, Ninh Binh, Thanh Hoa)	text		NT
211	China (Hainan Island)	text		
212		text		
213	Cambodia, Laos (Champasak, Saravan), Myanmar, Thailand (Chachoengsao, Chaiyaphum, Chon Buri, Kanchanaburi, Lampang, Nakhon Ratchasima, Phetchabun, Ratchaburi, Sakon Nakhon, Tak, Uthai Thani, Uttaridit), Vietnam (Dac Lak, Gia Lai, Kon Tum, Nghe An, Tha	text		VU
214		text		
696		text		
215	Australia (Queensland)	text		VU
216	China (Yunnan), Laos (Saravan), ?Myanmar, Thailand (Chiang Mai, Loei, Mae Hong Song, Phrae), Vietnam (Quang Tri)	text		NT
217	India (Andhra Pradesh, Karnataka, Odisha, Tamil Nadu)	text		DD
218		text		
796		text		
219	Indonesia (Nusa Tenggara Timur)	text		[LC]
220		text		
221	China (Fujian)	text		CR
222		text		
577	China (Fujian)	text		
223	China (Taiwan)	text		EN
224	China (Fujian, Guangdong)	text		EN
225	China (Yunnan), ?Vietnam (Lai Chau)	text		NT
226	Thailand (Saraburi)	text		CR
227	Australia (Queensland)	text		[VU]
228	Comoros, Kenya, Madagascar, Mozambique, Seychelles, Tanzania	text		LC
229		text		
230	Vietnam (Hai Phong, Quang Ninh)	text		NT
231		text		
232	Australia (Queensland)	text		VU
233		text		
234	Philippines (Cebu, Iloilo, Leyte, Marinduque, Mindoro Oriental, Negros Oriental, Samar)	text		[NT]
235	Philippines (Palawan)	text		CR
236		text		
237		text		
238	Australia (Queensland)	text		LC
239	Australia (Queensland)	text		NT
240	Philippines (Zambales)	text		CR
241	India (Andaman and Nicobar Islands), S Sri Lanka	text		VU
243		text		
244	Mexico (Nuevo León, Tamaulipas)	text		VU
245	Mexico (Oaxaca)	text		[VU]
246	Mexico (Oaxaca, Puebla)	text		EN
247	Mexico (Oaxaca, Puebla)	text		EN
248	Mexico (Hidalgo, Querétaro, San Luis Potosí, Tamaulipas, Veracruz)	text		NT
249		text		
697		text		
250		text		
698		text		
251		text		
699		text		
252		text		
253		text		
254		text		
255	Mexico (Oaxaca)	text		EN
256		text		
257	Honduras (Colón, Olancho, Yoro)	text		LC
258	Mexico (Chiapas, Oaxaca)	text		VU
740	Mexico (Oaxaca)	text		[VU]
259	Mexico (Oaxaca)	text		VU
260	Mexico (Oaxaca)	text		EN
261	Mexico (Sinaloa, Sonora)	text		EN
262	Mexico (Oaxaca, Veracruz)	text		EN
263	Mexico (Guerrero, Michoacán)	text		[CR]
264		text		
265	Mexico (Durango, Jalisco, Nayarit, Sinaloa)	text		VU
266		text		
700		text		
827	Mexico (Sonora)	text		[EN]
270		text		
269		text		
428		text		
271	South Africa (KwaZulu-Natal)	text		CR
272	South Africa (E Cape)	text		VU
701		text		
590		text		
649		text		
612		text		
636		text		
619		text		
617		text		
613		text		
611		text		
591		text		
618		text		
273	Swaziland	text		VU
274	South Africa (E Cape)	text		EN
275	Benin (Bergu), Ghana, Nigeria (Plateau), ?Togo	text		VU
276	Nigeria (Plateau)	text		EN
578	Benin (Bergu), Ghana, Nigeria, ?Togo	text		VU
277		text		
278	South Africa (Limpopo)	text		EW
279	Kenya (Narok), Tanzania (Arusha)	text		NT
280	South Africa (E Cape)	text		NT
625		text		
702		text		
609		text		
610		text		
281	South Africa (KwaZulu-Natal)	text		CR
282	Mozambique (Manica), Zimbabwe (Manicaland)	text		EN
283	Zimbabwe (Matabeleland South, Midlands and Masvingo)	text		EN
284	South Africa (Mpumalanga)	text		CR
285	South Africa (E Cape)	text		LC
703		text		
606		text		
607		text		
624		text		
286	Tanzania (Katavi)	text		EN
601		text		
287	South Africa (Limpopo)	text		CR
637		text		
648		text		
288	South Africa (Limpopo)	text		CR
268		text		
289	Uganda (Eastern)	text		CR
290	South Africa (Limpopo)	text		EN
642		text		
291		text		
292		text		
293	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)	text		NT
659	Mozambique (Inhambane)	text		[CR]
658	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)	text		NT
294		text		
596		text		
295	South Africa (E Cape, KwaZulu-Natal)	text		NT
296	South Africa (E Cape, KwaZulu-Natal)	text		VU
362		text		
297		text		
298	Malawi (Mulanje), Mozambique (Zambézia)	text		VU
704		text		
638		text		
299	South Africa (Mpumalanga), Swaziland	text		CR
300	Kenya (Coast), Tanzania (Lushoto, Tanga, Zanzibar Island)	text		NT
301		text		
643		text		
302	South Africa (Limpopo)	text		CR
303	South Africa (E Cape)	text		EN
633		text		
705		text		
635		text		
626		text		
634		text		
627		text		
304		text		
628		text		
305	South Africa (Mpumalanga)	text		VU
306		text		
307	South Africa (Limpopo)	text		CR
308	Democratic Republic of Congo (Orientale)	text		NT
309	Tanzania (Morogoro)	text		
310	Kenya (Taita-Taveta), Tanzania (Kilimanjaro, ?Morogoro)	text		EN
311		text		
312	South Africa (E Cape, KwaZulu-Natal, Limpopo, Mpumalanga), Swaziland	text		CR
313	South Africa (Gauteng, Mpumalanga)	text		NT
314		text		
706		text		
594		text		
315		text		
316	South Africa (E Cape)	text		CR
317	Angola, Democratic Republic of Congo	text		NT
318	Mozambique, South Africa (KwaZulu-Natal), Swaziland	text		EN
319	South Africa (E Cape)	text		NT
629		text		
707		text		
630		text		
708		text		
641		text		
320		text		
321	South Africa (E Cape)	text		NT
593		text		
662		text		
608		text		
709		text		
592		text		
603		text		
728		text		
322	South Sudan (Eastern Equatoria)	text		[NT]
323	Uganda (Northern)	text		EN
730		text		
324	Mozambique (Manica), Zimbabwe	text		VU
325		text		
326	Democratic Republic of Congo (Katanga)	text		VU
327		text		
328	South Africa (Mpumalanga)	text		CR
639		text		
640		text		
329	South Africa (KwaZulu-Natal)	text		CR
330	Mozambique (Manica)	text		CR
331		text		
332	South Africa (KwaZulu-Natal)	text		NT
333	South Africa (KwaZulu-Natal), Swaziland	text		VU
334	South Africa (Limpopo)	text		EW
600		text		
335	South Africa (Mpumalanga), Swaziland	text		VU
602		text		
336	Angola (Lunda Sul), Democratic Republic of Congo (Kasai-Occidental, Katanga)	text		LC
597		text		
337	South Africa (E Cape)	text		VU
620		text		
338	Mozambique (Manica)	text		CR
623		text		
339		text		
650		text		
340	Swaziland	text		EW
621		text		
341	Democratic Republic of Congo (Katanga)	text		VU
342	Democratic Republic of Congo (Katanga), Zambia (Luapula, Northern)	text		VU
267		text		
343	Tanzania (Tanga)	text		CR
344	South Africa (KwaZulu-Natal), Swaziland	text		VU
345	Central African Republic, Democratic Republic of Congo (Orientale), South Sudan (Western Equatoria), Uganda (Northern)	text		NT
346		text		
589		text		
644		text		
598		text		
710		text		
347		text		
348		text		
349	Kenya (Eastern, Rift Valley)	text		LC
350	Kenya (Eastern)	text		
579	Kenya (Rift Valley)	text		
351	South Africa (Limpopo)	text		LC
352		text		
353	South Africa (E Cape)	text		VU
354	Mozambique (Nampula)	text		LC
355	Mozambique, Swaziland	text		EN
631		text		
356		text		
357		text		
605		text		
358	South Africa (E Cape, KwaZulu-Natal), Swaziland	text		LC
647		text		
646		text		
711		text		
731		text		
645		text		
712		text		
359		text		
370		text		
360	Uganda (Western)	text		CR
361	South Africa (KwaZulu-Natal)	text		EW
739		text		
363		text		
364		text		
365		text		
366		text		
367		text		
368		text		
369		text		
604		text		
371	Australia (Queensland)	text		LC
372	Australia (New South Wales, Queensland)	text		LC
373		text		
375	Australia (Queensland)	text		VU
376	Australia (New South Wales)	text		LC
377	Australia (New South Wales)	text		LC
378	Australia (Queensland)	text		VU
379		text		
733		text		
380	Australia (Queensland)	text		EN
381	Australia (Queensland)	text		VU
382		text		
615		text		
383		text		
384	Australia (New South Wales)	text		LC
385	Australia (Queensland)	text		LC
386	Australia (WA)	text		LC
735		text		
387	Australia (New South Wales)	text		EN
734		text		
388	Australia (New South Wales)	text		NT
389	Australia (Queensland)	text		LC
390	Australia (New South Wales)	text		EN
391	Australia (WA)	text		LC
392	Australia (New South Wales)	text		LC
393	Australia (New South Wales)	text		LC
394		text		
586		text		
395	Australia (New South Wales)	text		VU
396	Australia (New South Wales)	text		LC
397	Australia (Queensland)	text		EN
398	Australia (Queensland)	text		NT
399	Australia (New South Wales, Queensland)	text		LC
400	Australia (Northern Territory)	text		LC
401	Australia (Queensland)	text		VU
402		text		
738		text		
403	Australia (Queensland)	text		LC
404	Australia (Queensland)	text		LC
405	Australia (New South Wales)	text		LC
406	Australia (Queensland)	text		NT
407	Australia (Queensland)	text		LC
408	Australia (Queensland)	text		VU
409		text		
410	Australia (Queensland)	text		VU
411	Australia (Queensland)	text		EN
412		text		
713		text		
413		text		
414		text		
415	Australia (Queensland)	text		VU
616		text		
416	Australia (New South Wales, Queensland)	text		EN
417	Australia (New South Wales)	text		LC
599		text		
419	Australia (New South Wales)	text		LC
420	Australia (WA)	text		LC
421	Australia (New South Wales)	text		VU
422	Australia (Queensland)	text		[EN]
423	Australia (New South Wales)	text		EN
736		text		
732		text		
424	Australia (New South Wales)	text		NT
588		text		
425	Australia (Queensland)	text		EN
427	Cuba (Pinar del Río)	text		CR
748		text		
749		text		
750		text		
751		text		
752		text		
753		text		
754		text		
755		text		
756		text		
757		text		
758		text		
759		text		
760		text		
761		text		
762		text		
763		text		
764		text		
765		text		
766		text		
767		text		
768		text		
769		text		
770		text		
771		text		
772		text		
773		text		
774		text		
429		text		
430	South Africa (E Cape, KwaZulu-Natal)	text		VU
431		text		
432		text		
433		text		
436	Costa Rica (San José)	text		VU
437		text		
438	Brazil (Amazonas), Colombia, (Amazonas, Vaupés), Ecuador (Morona-Santiago, Napo, Sucumbíos), Peru (Loreto), S Venezuela	text		NT
439		text		
440	Colombia (Valle del Cauca)	text		CR
441	Bahamas (Eleuthera), Cuba (Guantánamo, Oriente, Santiago de Cuba)	text		VU
715		text		
584		text		
745		text		
746		text		
583		text		
442		text		
51		text		
443		text		
444	Bolivia (El Beni, Cochabamba, Santa Cruz), Brazil (Mato Grosso)	text		NT
445		text		
446		text		
426		text		
447		text		
448		text		
449	Colombia (Chocó, Valle del Cauca)	text		NT
450	Mexico (Tabasco)	text		EN
451	Panama (Colón, Panamá, Kuna de Wargandi, Kuna Yala)	text		VU
452		text		
453		text		
454		text		
455		text		
456		text		
457		text		
458	Belize (Cayo, Stann Creek, Toledo)	text		[CR], list
459		text		
460	Colombia (Antioquia)	text		CR
461	Panama (Colón, Kuna Yala)	text		EN
15		text		
462	Panama (Colón, Kuna Yala)	text		EN
463	Colombia (Santander)	text		VU, [EN]
464	Cuba, Jamaica, Puerto Rico	text		VU
465	Costa Rica (Puntarenas, San José), Panama (Chiriquí)	text		NT
466	Mexico (Hidalgo, Querétaro, San Luis Potosí, Tamaulipas)	text		EN
467		text		
716		text		
787		text		
788		text		
242		text		
468	Mexico (Veracruz)	text		EN
717		text		
469		text		
470		text		
471	Ecuador (Carchi, Esmeraldas)	text		CR
472	Costa Rica (Limón)	text		[VU]
473	Mexico (Chiapas)	text		[CR]
474		text		
475		text		
476	Panama (Bocas del Toro)	text		[CR]
477	El Salvador (Sonsonate), Guatemala (Quetzaltenango Retalhuleu, Santa Rosa, Suchitepéquez), Mexico (Chiapas)	text		VU
478		text		
479	Colombia (Huila)	text		[CR]
480		text		
481	Colombia (Amazonas), Peru (Loreto)	text		CR
482	Panama (Coclé, Colón, Panamá, Veraguas)	text		[CR]
483	Colombia (Antioquia, Boyacá, Santander)	text		[VU]
484	Mexico (Veracruz)	text		CR
485	Bahamas, Cayman Islands, Cuba, United States (Florida, Georgia)	text		NT
821	United States (Florida)	text		[NE]
822	United States (Florida)	text		[NE]
823	United States (Florida)	text		[NE]
824	United States (Florida)	text		[NE]
825	United States (Florida)	text		[NE]
486	Panama (Panamá, Kuna Yala)	text		EN
487		text		
488	Mexico (Chiapas)	text		[CR]
489		text		
490	Mexico (Chiapas)	text		EN
491		text		
492		text		
493		text		
494		text		
495		text		
496	Brazil (Pará), Colombia (Amazonas), Venezuela (Amazonas)	text		NT
497		text		
498		text		
499		text		
718		text		
500	Ecuador (Azuay, Bolivar, Chimborazo, El Oro, Esmeraldas, Guayas, Los Ríos, Manabi, Pichincha), Perú (Tumbes)	text		[DD]
501	Panama (Bocas del Toro, Chiriquí)	text		[DD]
826	Colombia (Guaviare)	text		[EN]
502	Mexico (Chiapas, Hidalgo, Oaxaca, Tabasco, Tamaulipas, Veracruz)	text		NT
503		text		
719		text		
504		text		
505		text		
506		text		
507	Bahamas (Abaco, Long Island)	text		EN, [CR]
508	Peru (Loreto)	text		CR
509		text		
510		text		
511	Colombia (Antioquia, Chocó), Panama (Darién)	text		NT
512		text		
775		text		
777		text		
780		text		
781		text		
776		text		
782		text		
779		text		
778		text		
513	Belize (Belize, Cayo, Toledo)	text		[EN]
514	Colombia (Antioquia, Córdoba, Santander)	text		EN
515		text		
737		text		
516	Colombia (Antioquia, Risaralda)	text		CR
517	Guatemala (Alta Verapaz)	text		CR
518		text		
519	Colombia (La Guajira, Meta), Venezuela (Carabobo, Falcón, Guárico, Lara, Miranda, Yaracuy)	text		NT
520		text		
720		text		
521		text		
434	Panama (Coclé)	text		[EN]
435		text		
522	Panama (Bocas del Toro)	text		[CR]
523	Costa Rica, Nicaragua (Río San Juan, Atlántico Sur), Panama (Bocas del Toro)	text		VU
524		text		
525		text		
