ID	nameID	provisional	accordingTo	accordingToID	accordingToDate	fossil	recent	lifezone	link	kingdom	phylum	class	order	genus	family
40	40	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=40	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
41	41	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=41	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
42	42	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=42	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
43	43	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=43	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
817	817	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=817	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
793	793	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=793	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
814	814	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=814	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
44	44	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=44	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
45	45	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=45	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
46	46	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=46	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
47	47	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=47	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
52	52	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=52	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
54	54	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=54	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
55	55	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=55	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
56	56	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=56	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
57	57	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=57	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
58	58	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=58	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
59	59	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=59	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
60	60	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=60	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
574	574	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=574	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
61	61	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=61	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
62	62	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=62	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
63	63	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=63	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
829	829	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=829	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
65	65	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=65	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
66	66	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=66	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
67	67	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=67	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
68	68	1	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=68	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
69	69	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=69	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
571	571	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=571	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
570	570	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=570	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
70	70	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=70	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
71	71	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=71	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
73	73	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=73	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
75	75	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=75	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
76	76	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=76	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
