SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
28	syn	488	bas	Zamiaceae	Ceratozamia katzeriana	Ceratozamia	katzeriana	Regel										Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 298	1876		
29	acc	0		Zamiaceae	Ceratozamia kuesteriana	Ceratozamia	kuesteriana	Regel										Bull. Soc. Imp. Naturalistes Moscou 30(1): 187-188, t. 3, fig. 6; t. 4, fig. 22	1857	CR	Mexico (Tamaulipas)
30	acc	0		Zamiaceae	Ceratozamia latifolia	Ceratozamia	latifolia	Miq.										Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 206	1847	EN	Mexico (Hidalgo, Querétaro, San Luis Potosí, Veracruz)
31	syn	33	het	Zamiaceae	Ceratozamia longifolia	Ceratozamia	longifolia	Miq.										Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 40	1847		
32	acc	0		Zamiaceae	Ceratozamia matudae	Ceratozamia	matudae	Lundell										Lloydia 2(2): 75-76	1939	EN	Guatemala (Huehuetenango, San Marcos), Mexico (Chiapas)
33	acc	0		Zamiaceae	Ceratozamia mexicana	Ceratozamia	mexicana	Brongn.										Ann. Sci. Nat., Bot. ser. 3, 5: 7-8, t.. 1 1	1846	VU	Mexico (?Puebla, Veracruz)
743	syn	374	hom	Zamiaceae	Ceratozamia mexicana var. longifolia f. fuscoviridis	Ceratozamia	mexicana	Brongn.	var.	longifolia	Miq.	f.	fuscoviridis	(W.Bull) J.Schust.				in Engler, Pflanzenr. 99: 132	1932		
682	syn	33	hom	Zamiaceae	Ceratozamia mexicana var. mexicana	Ceratozamia	mexicana	Brongn.	var.	mexicana								Biol. Cent.-Amer., Bot. 3: 193	1884		
585	syn	41	hom	Zamiaceae	Ceratozamia mexicana var. robusta	Ceratozamia	mexicana	Brongn.	var.	robusta	(Miq.) Dyer							Biol. Cent.-Amer., Bot. 3: 193	1884		
34	syn	793	bas	Zamiaceae	Ceratozamia mexicana var. tenuis	Ceratozamia	mexicana	Brongn.	var.	tenuis	Dyer							Biol. Cent.-Amer., Bot. 3: 193	1884		
