SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
108	syn	107	het	Cycadaceae	Cycas clivicola subsp. lutea	Cycas	clivicola	K.D.Hill	subsp.	lutea	K.D.Hill							Brittonia 51(1): 64, fig. 8e,f,i	1999		
109	acc	0		Cycadaceae	Cycas collina	Cycas	collina	K.D.Hill, T.H.Nguyên & P.K.Lôc										Bot. Rev. (Lancaster) 70(2): 142-144, fig. 2	2004	VU	Vietnam (Son La)
797	syn	228	het	Cycadaceae	Cycas comorensis	Cycas	comorensis	Bruant										Bull. Soc. Bot. France 35: 246	1888		
110	acc	0		Cycadaceae	Cycas condaoensis	Cycas	condaoensis	K.D.Hill & S.L.Yang										Bot. Rev. (Lancaster) 70(2): 178-179, fig. 14	2004	VU	Vietnam (Ba Ria-Vung Tau)
111	acc	0		Cycadaceae	Cycas conferta	Cycas	conferta	Chirgwin ex Chirgwin & Wigston										J. Adelaide Bot. Gard. 15(2): 147	1993	NT	Australia (Northern Territory)
112	acc	0		Cycadaceae	Cycas couttsiana	Cycas	couttsiana	K.D.Hill										Telopea 5(1): 197-198, fig. 13	1992	NT	Australia (Queensland)
113	syn	207	het	Cycadaceae	Cycas crassipes	Cycas	crassipes	Hung T.Chang, Y.C.Zhong & Z.F.Lu										Acta Sci. Nat. Univ. Sunyatseni 38(3): 121122	1999		
114	acc	0		Cycadaceae	Cycas cupida	Cycas	cupida	P.I.Forst.										Austrobaileya 6(1): 153, figs. 1-5	2001	VU	Australia (Queensland)
115	acc	0		Cycadaceae	Cycas curranii	Cycas	curranii	(J.Schust.) K.D.Hill										Proc. Third Int. Conf. Cycad Biol.: 150	1995	CR	Philippines (Palawan)
792	dub	0		Cycadaceae	Cycas darshii	Cycas	darshii	R.C.Srivast. & Jana										Indian J. Pl. Sci. [Jaipur] 3(2): 151-153, t. II	2014		
116	acc	0		Cycadaceae	Cycas debaoensis	Cycas	debaoensis	Y.C.Zhong & C.J.Chen										Acta Phytotax. Sin. 35(6): 571	1997	CR	China (Guangxi)
117	acc	0		Cycadaceae	Cycas desolata	Cycas	desolata	P.I.Forst.										Austrobaileya 4(3): 345-352, figs. 1-5	1995	VU	Australia (Queensland)
812	syn	595	het	Cycadaceae	Cycas dharmrajii	Cycas	dharmrajii	L.J.Singh										Nordic J. Bot. 35(1): 6976. doi:10.1111/njb.01284	2017		
118	acc	0		Cycadaceae	Cycas diannanensis	Cycas	diannanensis	Z.T.Guan & G.D.Tao										Sichuan Forest. Surv. Design 1995(4): 1	1995	VU	China (Yunnan), ?N Vietnam
820	acc	0		Cycadaceae	Cycas distans	Cycas	distans	P.I.Forst. & B.Gray										Austrobaileya 10(1): 74-84	2017	[NE]	Australia (Qld)
119	acc	0		Cycadaceae	Cycas dolichophylla	Cycas	dolichophylla	K.D.Hill, T.H.Nguyên & P.K.Lôc										Bot. Rev. (Lancaster) 70(2): 157-160, fig. 7	2004	NT	China (Guangxi, Yunnan), ?Laos, Vietnam (Bac Kan, Cao Bang, Ha Giang, Hoa Binh, Lai Chau, Lao Cai, Ninh Binh, Son La, Thai Nguyen, Thanh Hoa, Tuyen Quang)
120	acc	0		Cycadaceae	Cycas edentata	Cycas	edentata	de Laub.										Blumea 43(2): 372	1998	NT	"Indonesia (Bali, Bengkulu, Jawa
Barat, Jawa Tengah, Jawa Timur,
Lampung, Riau, Sumatra Utara),
Malaysia (Johore, Langkawi,
Malacca, Pahang, Perak, Sabah,
Sarawak, Terengganu), Myanmar,
Philippines (Balabac, Basilan,
Cebu, Masbate, Mindanao,
Mindoro, Negros, Palawan, Panay,
Polillo), Singapore (Changi), Thailand
(Chumphon, Narathiwat,
Phang Nga, Phu Ket, Satun, Trang,
Trat), Vietnam (Kien Giang)"
121	acc	0		Cycadaceae	Cycas elephantipes	Cycas	elephantipes	A.Lindstr. & K.D.Hill										Brittonia 54(4): 301, fig. 3 (2002 publ. 2003)	2003	EN	Thailand (Chaiyaphum)
122	acc	0		Cycadaceae	Cycas elongata	Cycas	elongata	(Leandri) D.Yue Wang										Cycads China: 51	1996	EN	Vietnam (Binh Dinh, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Ngai)
123	acc	0		Cycadaceae	Cycas fairylakea	Cycas	fairylakea	D.Yue Wang										Cycads China: 54	1996	[EN]	China (Guangdong)
124	acc	0		Cycadaceae	Cycas falcata	Cycas	falcata	K.D.Hill										Kew Bull. 54(1): 209	1999	VU	Indonesia (Sulawesi Selatan, Sulawesi Tenggara)
125	acc	0		Cycadaceae	Cycas ferruginea	Cycas	ferruginea	F.N.Wei										Guihaia 14(4): 300, fig. 1	1994	NT	China (Guangxi), Vietnam (Lang Son, Thai Nguyen)
126	acc	0		Cycadaceae	Cycas fugax	Cycas	fugax	K.D.Hill, T.H.Nguyên & P.K.Lôc										Bot. Rev. (Lancaster) 70(2): 145-146, figs. 2-3	2004	CR	Vietnam (Phu Tho)
127	acc	0		Cycadaceae	Cycas furfuracea	Cycas	furfuracea	W.Fitzg.										J. Proc. Roy. Soc. Western Australia 3: 108	1918	LC	Australia (WA)
128	acc	0		Cycadaceae	Cycas glauca	Cycas	glauca	Hort. ex Miq.										Comm. Phytogr.: 127	1840	[VU]	East Timor, Indonesia (Nusa Tenggara Timur [Sumba Barat, Sumba Timur, Timur Barat])
129	syn	576	het	Cycadaceae	Cycas gracilis	Cycas	gracilis	Miq.										Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 366-367	1863		
132	sup	0		Cycadaceae	Cycas gracilis	Cycas	gracilis	Y.Y.Huang, Y.C.Zhong & Z.F.Lu										J. Pl. Genet. Resources 9(4): 525-527	2008		
130	syn	576	het	Cycadaceae	Cycas gracilis var. glauca	Cycas	gracilis	Miq.	var.	glauca	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282	1876		
688	syn	129	hom	Cycadaceae	Cycas gracilis var. gracilis	Cycas	gracilis	Miq.	var.	gracilis								Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282	1876		
131	syn	576	het	Cycadaceae	Cycas gracilis var. viridis	Cycas	gracilis	Miq.	var.	viridis	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282	1876		
133	acc	0		Cycadaceae	Cycas guizhouensis	Cycas	guizhouensis	K.M.Lan & R.F.Zou										Acta Phytotax. Sin. 21(2): 209-210	1983	VU	China (Guangxi, Guizhou, Yunnan)
134	acc	0		Cycadaceae	Cycas hainanensis	Cycas	hainanensis	C.J.Chen										Acta Phytotax. Sin. 13(4): 82, t. 2, figs. 5-6	1975	EN	China (Hainan)
135	syn	85	het	Cycadaceae	Cycas hainanensis subsp. changjiangensis	Cycas	hainanensis	C.J.Chen	subsp.	changjiangensis	(N.Liu) N.Liu							Proc. Sixth Int. Conf. Cycad Biol.: 3	2004		
689	syn	134	hom	Cycadaceae	Cycas hainanensis subsp. hainanensis	Cycas	hainanensis	C.J.Chen	subsp.	hainanensis								Proc. Sixth Int. Conf. Cycad Biol.: 3	2004		
136	acc	0		Cycadaceae	Cycas hoabinhensis	Cycas	hoabinhensis	P.K.Lôc & T.H.Nguyên										Bot. Rev. (Lancaster) 70(2): 153-155, fig. 5	2004	EN	Vietnam (Ha Nam, Ha Tay, Hoa Binh, Ninh Binh)
137	acc	0		Cycadaceae	Cycas hongheensis	Cycas	hongheensis	S.Y.Yang & S.L.Yang ex D.Yue Wang										Cycads China: 62	1996	CR	China (Yunnan)
138	dub	0		Cycadaceae	Cycas hypoleuca	Cycas	hypoleuca	C.Presl.										Epimel. Bot.: 238	1849		
139	syn	213	het	Cycadaceae	Cycas immersa	Cycas	immersa	Craib										Bull. Misc. Inform. Kew 1912(10): 434-435	1912		
140	acc	0		Cycadaceae	Cycas indica	Cycas	indica	A.Lindstr. & K.D.Hill										Telopea 11(4): 481-483, fig. 3	2007	[DD]	India (Karnataka)
141	acc	0		Cycadaceae	Cycas inermis	Cycas	inermis	Lour.										Fl. Cochinch. 2: 632	1793	VU	Laos (Khammouan), Vietnam (Da Nang, Dong Nai, Khanh Hoa, Quang Nam)
142	acc	0		Cycadaceae	Cycas javana	Cycas	javana	(Miq.) de Laub.										Cycads China: 65	1996	EN	Indonesia (Jawa Barat, Jawa Tengah, Jawa Timur)
143	syn	183	het	Cycadaceae	Cycas jenkinsiana	Cycas	jenkinsiana	Griff.										Not. Pl. Asiat. 4: 9-10, pl. 360, figs. 1-2, pl. 362, fig. 1	1854		
144	syn	576	het	Cycadaceae	Cycas kennedyana	Cycas	kennedyana	F.Muell.										Australas. Chem. Druggist: 16	1882		
145	acc	0		Cycadaceae	Cycas lacrimans	Cycas	lacrimans	A.Lindstr. & K.D.Hill										Telopea 12(1): 136-138, fig. 5	2008	[EN]	Philippines (Davao Oriental)
146	acc	0		Cycadaceae	Cycas lane-poolei	Cycas	lane-poolei	C.A.Gardner										For. Dep. Bull., W. Austral. 32: 30-32, fig. e	1923	LC	Australia (WA)
653	acc	0		Cycadaceae	Cycas laotica	Cycas	laotica	Aver., T.H.Nguyên & S.K.Nguyên										Nordic J. Bot. [epublished 10 Sep 2014, DOI: 10.1111/njb.00498]	2014		Laos (Khammouan)
147	acc	0		Cycadaceae	Cycas lindstromii	Cycas	lindstromii	S.L.Yang, K.D.Hill & T.H.Nguyên										Novon 7(2): 213-215, fig. 1	1997	EN	Vietnam (Ba Ria-Vung Tau, Binh Thuan, Khanh Hoa, Ninh Thuan)
148	syn	134	het	Cycadaceae	Cycas lingshuiensis	Cycas	lingshuiensis	G.A.Fu										Bull. Bot. Res., Harbin 24(4): 387-388	2004		
149	syn	120	het	Cycadaceae	Cycas litoralis	Cycas	litoralis	K.D.Hill										Brittonia 51(1): 70-72, fig. 11	1999		
150	syn	207	het	Cycadaceae	Cycas longiconifera	Cycas	longiconifera	Hung T.Chang, Y.C.Zhong & Y.Y.Huang										Acta Sci. Nat. Univ. Sunyatseni 37(4): 6	1998		
151	syn	570	het	Cycadaceae	Cycas longipetiolula	Cycas	longipetiolula	D.Yue Wang										Cycads China: 68	1996		
152	syn	210	het	Cycadaceae	Cycas longisporophylla	Cycas	longisporophylla	F.N.Wei										Guihaia 17(3): 209	1997		
153	syn	133	het	Cycadaceae	Cycas longlinensis	Cycas	longlinensis	Hung T.Chang & Y.C.Zhong										Acta Sci. Nat. Univ. Sunyatseni 36(3): 68	1997		
154	acc	0		Cycadaceae	Cycas maconochiei	Cycas	maconochiei	Chirgwin & K.D.Hill										Telopea 7(1): 48-49, fig. 22	1996	LC	Australia (Northern Territory)
155	acc	0		Cycadaceae	Cycas maconochiei subsp. lanata	Cycas	maconochiei	Chirgwin & K.D.Hill	subsp.	lanata	K.D.Hill							Telopea 7(1): 49-51	1996	LC	Australia (Northern Territory)
575	acc	0		Cycadaceae	Cycas maconochiei subsp. maconochiei	Cycas	maconochiei	Chirgwin & K.D.Hill	subsp.	maconochiei								Telopea 7(1): 48-49, fig. 22	1996	NT	Australia (Northern Territory)
156	acc	0		Cycadaceae	Cycas maconochiei subsp. viridis	Cycas	maconochiei	Chirgwin & K.D.Hill	subsp.	viridis	K.D.Hill							Telopea 7(1) : 51-52, fig. 23	1996	LC	Australia (Northern Territory)
157	acc	0		Cycadaceae	Cycas macrocarpa	Cycas	macrocarpa	Griff.										Not. Pl. Asiat. 4: 11-14, pl. 362, fig. 2	1854	VU	Laos (Vientiane), Malaysia (Kelantan, Pahang, Terengganu), Thailand (Chantaburi, Chumphon, Narathiwat, Ranong)
158	syn	228	het	Cycadaceae	Cycas madagascariensis	Cycas	madagascariensis	Miq.										Comm. Phytogr.: 127	1840		
159	acc	0		Cycadaceae	Cycas media	Cycas	media	R.Br.										Prodr. Fl. Nov. Holland. 1: 348	1810	LC	Australia (Queensland)
160	acc	0		Cycadaceae	Cycas media subsp. banksii	Cycas	media	R.Br.	subsp.	banksii	K.D.Hill							Telopea 7(1): 15-16	1996		Australia (Queensland)
161	acc	0		Cycadaceae	Cycas media subsp. ensata	Cycas	media	R.Br.	subsp.	ensata	K.D.Hill							Telopea 7(1): 14-15, fig. 6	1996		Australia (Queensland)
576	acc	159		Cycadaceae	Cycas media subsp. media	Cycas	media	R.Br.	subsp.	media								Telopea 7(1): 12-14, fig. 5	1996		Australia (Queensland)
800	syn	66	bas	Cycadaceae	Cycas media var. basaltica	Cycas	media	R.Br.	var.	basaltica	(C.A.Gardner) J.Schust.							in Engler, Pflanzenr. 99: 78	1932		
801	syn	127	bas	Cycadaceae	Cycas media var. furfuracea	Cycas	media	R.Br.	var.	furfuracea	(W.Fitzg.) J.Schust.							in Engler, Pflanzenr. 99: 78	1932		
798	syn	146	bas	Cycadaceae	Cycas media var. lanepoolei	Cycas	media	R.Br.	var.	lanepoolei	(C.A.Gardner) J.Schust.							in Engler, Pflanzenr. 99: 78	1932		
572	hyb	0		Cycadaceae	Cycas media x C. ophiolitica	Cycas	media x C. ophiolitica											Telopea 7(1): 3	1996		
162	acc	0		Cycadaceae	Cycas megacarpa	Cycas	megacarpa	K.D.Hill										Telopea 5(1): 188-189, fig. 5	1992	VU	Australia (Queensland)
163	acc	0		Cycadaceae	Cycas micholitzii	Cycas	micholitzii	Dyer										Gard. Chron., ser. 3 38: 142-144, figs. 48-49	1905	VU	Laos (Champasak, Saravan), Vietnam (Dac Lak, Gia Lai, Kon Tum)
690	syn	163	hom	Cycadaceae	Cycas micholitzii var. micholitzii	Cycas	micholitzii	Dyer	var.	micholitzii								Nat. Hist. Bull. Siam Soc. 24: 164	1971		
164	syn	216	bas	Cycadaceae	Cycas micholitzii var. simplicipinna	Cycas	micholitzii	Dyer	var.	simplicipinna	Smitinand							Nat. Hist. Bull. Siam Soc. 24: 164, figs. 2-3, 4f	1971		
165	acc	0		Cycadaceae	Cycas micronesica	Cycas	micronesica	K.D.Hill										Austral. Syst. Bot. 7(6): 554-556, fig. 10	1994	EN	Guam, Micronesia (Yap), Northern Mariana Islands (Rota), Palau
166	syn	191	het	Cycadaceae	Cycas miquelii	Cycas	miquelii	Warb.										Monsunia 1: 179, 181	1900		
167	acc	0		Cycadaceae	Cycas montana	Cycas	montana	A.Lindstr. & K.D.Hill										Telopea 12(3): 396-397, fig. 3	2009	[NT]	Indonesia (Nusa Tenggara Timur)
168	syn	207	het	Cycadaceae	Cycas multifida	Cycas	multifida	Hung T.Chang & Y.C.Zhong										Acta Sci. Nat. Univ. Sunyatseni 36(3): 70	1997		
169	acc	0		Cycadaceae	Cycas multifrondis	Cycas	multifrondis	D.Yue Wang										Cycads China: 80	1996	[EN]	China (Yunnan)
171	syn	118	het	Cycadaceae	Cycas multiovula	Cycas	multiovula	D.Yue Wang										Cycads China: 83	1996		
170	acc	0		Cycadaceae	Cycas multipinnata	Cycas	multipinnata	C.J.Chen & S.Y.Yang										Acta Phytotax. Sin. 32(3): 239, 480-481	1994	EN	China (Yunnan), Vietnam (Yen Bai)
172	acc	0		Cycadaceae	Cycas nathorstii	Cycas	nathorstii	J.Schust.										in Engler, Pflanzenr. 99: 76, fig. 10e	1932	VU	India (Tamil Nadu), N Sri Lanka
674	acc	0		Cycadaceae	Cycas nayagarhensis	Cycas	nayagarhensis	Rita Singh, P.Radha & Khuraijam										Asian J. Conservation Biol. 4(1): 3-14, figs. 4-6	2015	[CR]	India (Odisha)
173	acc	0		Cycadaceae	Cycas nitida	Cycas	nitida	K.D.Hill & A.Lindstr.										Telopea 12(1): 142-143, fig. 6	2008	[NT]	Philippines (Albay, Cagayan, Quezon, Northern Samar)
174	acc	0		Cycadaceae	Cycas nongnoochiae	Cycas	nongnoochiae	K.D.Hill										Brittonia 51(1): 60-62, fig. 7	1999	VU	Laos (Vientiane), Thailand (Nakhon Sawan)
175	syn	576	het	Cycadaceae	Cycas normanbyana	Cycas	normanbyana	F.Muell.										Fragm. (Mueller) 8(66): 169-171, Icon. 65-66	1874		
176	acc	0		Cycadaceae	Cycas ophiolitica	Cycas	ophiolitica	K.D.Hill										Telopea 5(1): 190-191, fig. 7	1992	VU	Australia (Queensland)
177	acc	0		Cycadaceae	Cycas orientis	Cycas	orientis	K.D.Hill										Telopea 5(4): 696-697, fig. 3	1994	LC	Australia (Northern Territory)
673	acc	0		Cycadaceae	Cycas orixensis	Cycas	orixensis	(Haines) Rita Singh & Khuraijam										Asian J. Conservation Biol. 4(1): 3-14, figs. 1-3	2015	[EN]	India (Odisha)
178	acc	0		Cycadaceae	Cycas pachypoda	Cycas	pachypoda	K.D.Hill										Bot. Rev. (Lancaster) 70(2): 176-178, fig. 13	2004	CR	Vietnam (Binh Thuan, Ninh Thuan)
179	syn	65	het	Cycadaceae	Cycas palmatifida	Cycas	palmatifida	Hung T.Chang, Y.Y.Huang & Y.C.Zhong										Acta Sci. Nat. Univ. Sunyatseni 37(4): 7	1998		
180	acc	0		Cycadaceae	Cycas panzhihuaensis	Cycas	panzhihuaensis	L.Zhou & S.Y.Yang										Acta Phytotax. Sin. 19(3): 335, t. 10, figs. 1-6; t. 11, figs. 1-10	1981	VU	China (Sichuan, Yunnan)
181	acc	0		Cycadaceae	Cycas papuana	Cycas	papuana	F.Muell.										Descr. Notes Papuan Pl. 4: 71-72	1876	NT	Indonesia (Papua), Papua New Guinea (Western)
182	syn	118	het	Cycadaceae	Cycas parvula	Cycas	parvula	S.L.Yang										Cycads China: 93	1996		
183	acc	0		Cycadaceae	Cycas pectinata	Cycas	pectinata	Buch.-Ham.										Mem. Wern. Nat. Hist. Soc. 5(2): 322-323	1826	VU	Bangladesh, Bhutan, China (Yunnan), India (Assam, Manipur, Meghalaya, Sikkim, West Bengal), Laos, Myanmar, Nepal, Thailand (Chiang Mai, Kanchanaburi, Mae Hong Son, Phetchabun, Phrae, Sukhothai), Vietnam (Binh Dinh, Gia Lai, Kon Tum, Lam Dong, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai)
185	syn	118	het	Cycadaceae	Cycas pectinata subsp. manhaoensis	Cycas	pectinata	Buch.-Ham.	subsp.	manhaoensis	C.J.Chen & P.Yun							Acta Bot. Yunnan. 17(4): 400	1995		
184	syn	122	bas	Cycadaceae	Cycas pectinata var. elongata	Cycas	pectinata	Buch.-Ham.	var.	elongata	Leandri							Fl. Indo-Chine 5(10): 1091	1931		
691	syn	183	hom	Cycadaceae	Cycas pectinata var. pectinata	Cycas	pectinata	Buch.-Ham.	var.	pectinata								Fl. Indo-Chine 5(10): 1091	1931		
186	acc	0		Cycadaceae	Cycas petraea	Cycas	petraea	A.Lindstr. & K.D.Hill										Brittonia 54(4): 299, fig. 1 (2002 publ. 2003)	2003	NT	Laos (Vientiane),Thailand (Loei)
187	acc	0		Cycadaceae	Cycas platyphylla	Cycas	platyphylla	K.D.Hill										Telopea 5(1): 193-194, fig. 9	1992	EN	Australia (Queensland)
188	acc	0		Cycadaceae	Cycas pranburiensis	Cycas	pranburiensis	S.L.Yang, W.Tang, K.D.Hill & Vatch.										Brittonia 51(1): 44-47, fig. 1	1999	VU	Thailand (Prachuap Khiri Khan)
189	acc	0		Cycadaceae	Cycas pruinosa	Cycas	pruinosa	Maconochie										J. Adelaide Bot. Gard. 1(3): 177-178, fig. 2	1978	LC	Australia (Northern Territory, WA)
794	syn	595	het	Cycadaceae	Cycas pschannae	Cycas	pschannae	R.C.Srivast. & L.J.Singh										Int. J. Curr. Res. Biosci. Plant Biol. 2 (8): 35-37	2015		
190	dub	0		Cycadaceae	Cycas pygmaea	Cycas	pygmaea	Blume										Rumphia 4: 16	1848		
191	acc	0		Cycadaceae	Cycas revoluta	Cycas	revoluta	Thunb.										Verh. Holl. Maatsch Weetensch. Haarlem 20(2): 424, 426-427	1782	LC	China (Fujian), Japan (Ryukyu Islands)
192	syn	191	het	Cycadaceae	Cycas revoluta var. brevifrons	Cycas	revoluta	Thunb.	var.	brevifrons	Miq.							Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 207	1847		
193	syn	191	het	Cycadaceae	Cycas revoluta var. planifolia	Cycas	revoluta	Thunb.	var.	planifolia	Miq.							Monogr. Cycad.: 2526	1842		
194	syn	191	het	Cycadaceae	Cycas revoluta var. prolifera	Cycas	revoluta	Thunb.	var.	prolifera	Siebold & Zucc.							Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 14(3): 236	1846		
692	syn	191	hom	Cycadaceae	Cycas revoluta var. revoluta	Cycas	revoluta	Thunb.	var.	revoluta								Monogr. Cycad.: 2526	1842		
195	syn	191	het	Cycadaceae	Cycas revoluta var. robusta	Cycas	revoluta	Thunb.	var.	robusta	Messeri							Nuovo Giorn. Bot. Ital., n.s., 34: 324, 327	1927		
741	syn	224	hom	Cycadaceae	Cycas revoluta var. taiwaniana	Cycas	revoluta	Thunb.	var.	taiwaniana	(Carruth.) J.Schust.							in Engler, Pflanzenr. 99: 84	1932		
196	acc	0		Cycadaceae	Cycas riuminiana	Cycas	riuminiana	Porte ex Regel										Gartenflora 12: 16-17	1863	EN	Philippines (Bataan, Batanes, Batangas, Cagayan, Cavite, Isabela, Laguna, Pampanga)
197	acc	0		Cycadaceae	Cycas rumphii	Cycas	rumphii	Miq.										Bull. Sci. Phys. Nat. Néerl. 2: 45	1839	NT	Australia (Ashmore Reef, Christmas Island) Indonesia (Jawa Timur, Kalimantan Barat, Maluku, Papua, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, West Papu), Papua New Guinea (West Sepik).
693	syn	197	hom	Cycadaceae	Cycas rumphii f. rumphii	Cycas	rumphii	Miq.	f.	rumphii								J. Jap. Bot. 14(9): 587	1938		
198	syn	233	hom	Cycadaceae	Cycas rumphii f. undulata	Cycas	rumphii	Miq.	f.	undulata	(Desf. ex Gaudich.) Kaneh.							J. Jap. Bot. 14(9): 587	1938		
799	syn	175	hom	Cycadaceae	Cycas rumphii subsp. normanbyana	Cycas	rumphii	Miq.	subsp.	normanbyana	(F.Muell.) J.Schust.							in Engler, Pflanzenr. 99: 75	1932		
694	syn	197	hom	Cycadaceae	Cycas rumphii subsp. rumphii	Cycas	rumphii	Miq.	subsp.	rumphii								in Engler, Pflanzenr. 99: 75	1932		
199	syn	241	bas	Cycadaceae	Cycas rumphii subsp. zeylanica	Cycas	rumphii	Miq.	subsp.	zeylanica	J.Schust.							in Engler, Pflanzenr. 99: 75, figs. 10c-d, 11m	1932		
200	syn	69	bas	Cycadaceae	Cycas rumphii var. bifida	Cycas	rumphii	Miq.	var.	bifida	Dyer							J. Linn. Soc., Bot. 26: 560	1902		
695	syn	197	hom	Cycadaceae	Cycas rumphii var. rumphii	Cycas	rumphii	Miq.	var.	rumphii								Comm. Phytogr.: 125-126	1840		
802	syn	206	hom	Cycadaceae	Cycas rumphii var. seemannii	Cycas	rumphii	Miq.	var.	seemannii	(Regalado) Parham							Agric. J. (Suva) 19: 94, f. 7	1948		
201	syn	128	het	Cycadaceae	Cycas rumphii var. timorensis	Cycas	rumphii	Miq.	var.	timorensis	Miq.							Comm. Phytogr.: 125-126	1840		
595	acc	0		Cycadaceae	Cycas sainathii	Cycas	sainathii	R.C.Srivast.										Indian J. Pl. Sci. [Jaipur] 3(1): 109-110, pl. 1	2014	[CR]	India (Andaman and Nicobar Islands Territory)
202	acc	0		Cycadaceae	Cycas sancti-lasallei	Cycas	sancti-lasallei	Agoo & Madulid										Blumea 57(2): 131	2012	[CR]	Philippines (Misamis Oriental)
203	acc	0		Cycadaceae	Cycas saxatilis	Cycas	saxatilis	K.D.Hill & A.Lindstr.										Telopea 12(1): 128-129, fig. 2	2008	VU	Philippines (Palawan)
204	acc	0		Cycadaceae	Cycas schumanniana	Cycas	schumanniana	Lauterb.										Fl. Schutzgeb. Südsee: 154-155	1900	NT	Papua New Guinea (Eastern Highlands, Madang, Morobe)
205	acc	0		Cycadaceae	Cycas scratchleyana	Cycas	scratchleyana	F.Muell.										Vict. Naturalist 2(2): 18-19	1885	NT	Australia (Queensland [Murray Island]), Indonesia (Papua, Maluku, Papua Barat), Papua New Guinea (Central, Gulf, Milne Bay, Western)
206	acc	0		Cycadaceae	Cycas seemannii	Cycas	seemannii	Braun										Sitzungsber. Ges. Naturf. Freunde Berlin: 114-115	1876	VU	Fiji, New Caledonia, Tonga, Vanuatu
207	acc	0		Cycadaceae	Cycas segmentifida	Cycas	segmentifida	D.Yue Wang & C.Y.Deng										Encephalartos 43: 11-14	1995	VU	China (Guangxi, Guizhou, Yunnan), ?N Vietnam
208	acc	0		Cycadaceae	Cycas semota	Cycas	semota	K.D.Hill										Telopea 7(1): 23-26, fig. 11	1996	VU	Australia (Queensland)
209	syn	210	het	Cycadaceae	Cycas septemsperma	Cycas	septemsperma	Hung T.Chang, Y.Y.Huang & H.X.Zheng										Acta Sci. Nat. Univ. Sunyatseni 37(4): 8	1998		
815	acc	0		Cycadaceae	Cycas seshachalamensis	Cycas	seshachalamensis	P.V.C.Rao, N.V.S.Prasad, P.M.Babu, K.Prassad & Prasanna										Asian J. Conservation Biol. 5(1): 55-58, figs. 1-2	2016	[CR]	India (Andhra Pradesh)
210	acc	0		Cycadaceae	Cycas sexseminifera	Cycas	sexseminifera	F.N.Wei										Guihaia 16(1): 1	1996	NT	China (Guangxi), Vietnam (Cao Bang, Ninh Binh, Thanh Hoa)
211	syn	134	het	Cycadaceae	Cycas shanyaensis	Cycas	shanyaensis	G.A.Fu										Bull. Bot. Res., Harbin 26(1): 2-3, fig. 1	2006		China (Hainan Island)
212	syn	65	het	Cycadaceae	Cycas shiwandashanica	Cycas	shiwandashanica	Hung T.Chang & Y.C.Zhong										Chin. Bull. Bot. 12: 12	1995		
213	acc	0		Cycadaceae	Cycas siamensis	Cycas	siamensis	Miq.										Bot. Zeitung (Berlin) 21: 334	1863	VU	Cambodia, Laos (Champasak, Saravan), Myanmar, Thailand (Chachoengsao, Chaiyaphum, Chon Buri, Kanchanaburi, Lampang, Nakhon Ratchasima, Phetchabun, Ratchaburi, Sakon Nakhon, Tak, Uthai Thani, Uttaridit), Vietnam (Dac Lak, Gia Lai, Kon Tum, Nghe An, Tha
214	syn	65	hom	Cycadaceae	Cycas siamensis subsp. balansae	Cycas	siamensis	Miq.	subsp.	balansae	(Warb.) J.Schust.							in Engler, Pflanzenr. 99: 81	1932		
696	syn	213	hom	Cycadaceae	Cycas siamensis subsp. siamensis	Cycas	siamensis	Miq.	subsp.	siamensis								in Engler, Pflanzenr. 99: 81	1932		
215	acc	0		Cycadaceae	Cycas silvestris	Cycas	silvestris	K.D.Hill										Telopea 5(1): 181-182, fig. 1	1992	VU	Australia (Queensland)
216	acc	0		Cycadaceae	Cycas simplicipinna	Cycas	simplicipinna	(Smitinand) K.D.Hill										Proc. Third Int. Conf. Cycad Biol.: 150	1995	NT	China (Yunnan), Laos (Saravan), ?Myanmar, Thailand (Chiang Mai, Loei, Mae Hong Song, Phrae), Vietnam (Quang Tri)
217	acc	0		Cycadaceae	Cycas sphaerica	Cycas	sphaerica	Roxb.										Fl. Ind. (Roxburgh) 3: 747	1832	DD	India (Andhra Pradesh, Karnataka, Odisha, Tamil Nadu)
218	syn	210	het	Cycadaceae	Cycas spiniformis	Cycas	spiniformis	J.Y.Liang										Guihaia 17(3): 211	1997		
796	inv	0		Cycadaceae	Cycas squarrosa	Cycas	squarrosa	Lodd. ex G.Don										Hort. Brit. [Loudon]: 403	1830		
219	acc	0		Cycadaceae	Cycas sundaica	Cycas	sundaica	Miq. ex A.Lindstr. & K.D.Hill										Telopea 12(3): 408-410, fig. 6	2009	[LC]	Indonesia (Nusa Tenggara Timur)
